"election","cycle","fecyear","bonica.rid","bonica.cid","name","lname","ffname","fname","mname","title","suffix","party","state","seat","district","distcyc","ico.status","cand.gender","recipient.cfscore","recipient.cfscore.dyn","contributor.cfscore","dwdime","dwnom1","dwnom2","ps.dwnom1","ps.dwnom2","irt.cfscore","composite.score","num.givers","num.givers.total","total.receipts","total.disbursements","total.indiv.contribs","total.unitemized","total.pac.contribs","total.party.contribs","total.contribs.from.candidate","ind.exp.support","ind.exp.oppose","prim.vote.pct","pwinner","gen.vote.pct","gwinner","s.elec.stat","r.elec.stat","district.pres.vs","fec.cand.status","recipient.type","igcat","comtype","ICPSR","ICPSR2","Cand.ID","FEC.ID","NID","before.switch.ICPSR","after.switch.ICPSR","party.orig","nimsp.party","nimsp.candidate.ICO.code","nimsp.district","nimsp.office","nimsp.candidate.status"
"fd2016",2016,2016,"cand1539",5724239349,"toomey, patrick joseph","toomey","patrick joseph","patrick","joseph","","","200","PA","federal:senate","PAS16","2016_PA_S","I","M",1.136,1.108,1.335,1.371,0.624,-0.378,0.596,-0.311,1.131,3.17784338070642,15944,41018,22084253,27781417,13174057,3730566,3788903,58905,0,2686063.85,41311908.12,0.9905,"W",48.72,"W","","",0.496,"C","cand","","S","299352016","29935","S4PA00121","C00461046","N00001489",NA,NA,"200","","","","",""
"fd2016",2016,2018,"cand1584",3816420594,"casey, robert p jr","casey","robert p","robert","p","","jr","100","PA","federal:senate","PAS18","2016_PA_S","I","M",-0.794,-0.342,-0.669,-0.855,-0.313,0.166,-0.295,0.3,-2.192,-2.47052790121187,1851,325924,2570303,1320756,1554394,77359,869398,0,0,0,0,NA,"",NA,"","","",0.496,"F","cand","","S","407032016","40703","S6PA00217","C00431056","N00027503",NA,NA,"100","","","","",""
"fd2016",2016,2016,"cand221",5091347561,"biden, joseph robinettee","biden","joseph robinettee","joseph","robinettee","","","100","00","federal:president","PRES","","C","M",-0.588,NA,-0.34,-0.916,-0.314,-0.042,NA,NA,-0.599,-2.10777783215767,1,17848,0,0,0,0,0,0,0,0,0,NA,"",NA,"","","",NA,"N","cand","","","141012016","14101","P60012135","P60012135","NP60012135",NA,NA,"100","","","","",""
"fd2016",2016,2016,"cand100270nominee",3120056714,"trump, donald j","trump","donald j","donald","j","","","200","00","federal:president","PRES","","C","M",1.563,1.484,0.325,NA,NA,NA,NA,NA,NA,4.1594694030336,575458,2927477,350668435.7,343056732.78,46884985,86737976,154039.15,9303.25,18633208.8,31010336.7,189115349.27,NA,"",NA,"","","",NA,"C","cand","","P","P800015712016","P80001571nominee","P80001571","C00580100","NP80001571",NA,NA,"200","","","","",""
"fd2016",2016,2016,"cand129959",5000027535425528,"mcginty, kathleen alana","mcginty","kathleen alana","kathleen","alana","","","100","PA","federal:senate","PAS16","2016_PA_S","C","F",-0.912,-0.931,-0.834,-0.849,NA,NA,NA,NA,NA,-2.53257759304827,26414,27316,16592370,13021653,10302841,3761372,1151096,46800,0,9697077.42,20528767.6,0.4238,"W",47.29,"L","","",0.496,"C","cand","","S","S6PA002662016","S6PA00266","S6PA00266","C00582809","NS6PA00266",NA,NA,"100","","","","",""
"fd2018",2018,2016,"cand129959",5000027535425528,"mcginty, kathleen alana","mcginty","kathleen alana","kathleen","alana","","","100","PA","federal:senate","PAS16","2018_PA_S","C","F",-0.912,-1.09,-0.834,-0.849,NA,NA,NA,NA,NA,-2.53257759304827,84,27316,375909.34,392226.89,0,0,0,0,0,0,0,NA,"",NA,"","","",0.496,"P","cand","","S","S6PA002662018","S6PA00266","S6PA00266","C00582809","NS6PA00266",NA,NA,"100","","","","",""
"fd2018",2018,2018,"cand1584",3816420594,"casey, robert p jr","casey","robert p","robert","p","","jr","100","PA","federal:senate","PAS18","2018_PA_S","I","M",-0.794,-0.671,-0.669,-0.855,-0.313,0.166,-0.317,0.065,-2.192,-2.47052790121187,43561,325924,17816254.19,18934799.74,9710711.99,3514131.79,2665280.27,6000,0,472752.46,15680.97,0.9913,"W",55.73,"W","","",0.496,"C","cand","","S","407032018","40703","S6PA00217","C00431056","N00027503",NA,NA,"100","","","","",""
"fd2018",2018,2020,"cand100270nominee",3120056714,"trump, donald j","trump","donald j","donald","j","","","200","00","federal:president","PRES","","C","M",1.563,1.507,0.325,NA,NA,NA,NA,NA,NA,4.1594694030336,129210,2927477,67548285.1,55867086.82,8971080,18739442,12605,0,0,11192512.22,365145.51,NA,"",NA,"","","",NA,"C","cand","","P","P800015712018","P80001571nominee","P80001571","C00580100","NP80001571",NA,NA,"200","","","","",""
"fd2018",2018,2018,"cand1159",3818420264,"barletta, lou","barletta","lou","lou","","","","200","PA","federal:senate","PAS18","2018_PA_S","C","M",1.043,1.131,0.771,0.619,0.278,0.393,NA,NA,NA,1.91789049467979,5630,9693,14814157.48,15520363.3,7260706.9,5179500.78,1767247.58,4240,0,0,21087.03,0.628,"W",42.6,"L","","",0.496,"C","cand","","","S8PA003202018","21171","S8PA00320","C00445122","NS8PA00320",NA,NA,"200","","","","",""
"fd2020",2020,2018,"cand1159",3818420264,"barletta, lou","barletta","lou","lou","","","","200","PA","federal:senate","PAS18","2020_PA_S","C","M",1.043,1.011,0.771,0.619,0.278,0.393,NA,NA,NA,1.91789049467979,4,9693,26858.53,71214.88,0,0,0,0,0,0,0,NA,"",NA,"","","",0.506,"P","cand","","H","S8PA003202020","21171","S8PA00320","C00445122","NS8PA00320",NA,NA,"200","","","","",""
